127.0.0.1 - - [11/Apr/2026 03:32:40] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:52] "GET /?authuser=0 HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /config.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /screens/location.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /screens/capture.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /screens/analysis.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /screens/result.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /screens/negotiation.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /screens/preferences.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /api/gemini-vision.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:53] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:32:54] code 404, message File not found
127.0.0.1 - - [11/Apr/2026 03:32:54] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [11/Apr/2026 03:34:02] "GET /?authuser=0 HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:34:07] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /screens/location.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /screens/preferences.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /screens/result.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:34:45] "GET /api/gemini-live.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:42] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /screens/location.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /screens/result.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /screens/preferences.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /api/gemini-vision.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:36:43] "GET /api/gemini-live.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:44] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:36:45] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:37:02] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:37:02] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:37:54] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:37:54] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /screens/result.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /screens/location.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /api/gemini-vision.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /screens/preferences.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:38] "GET /api/gemini-live.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:54] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:39:54] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:40:16] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:40:16] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /screens/capture.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /screens/location.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /screens/analysis.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /screens/result.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /screens/preferences.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:42:25] "GET /api/gemini-vision.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:42:26] "GET /api/gemini-live.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:44:17] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:44:17] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:44:17] "GET /screens/analysis.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:44:17] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /config.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /screens/location.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /screens/result.js HTTP/1.1" 304 -
